"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"238" 3.41465990206221e-174 0.786082123273375 0.532 0.055 4.24134906435147e-170 11 "BAG2"
"239" 4.35030616329387e-174 1.23752882216588 0.923 0.465 5.40351528542731e-170 11 "NSA2"
"240" 5.93422659131497e-174 -3.39185053563433 0.425 0.792 7.37090284907233e-170 11 "RETN"
"241" 1.98042733010561e-173 0.816541531287472 0.614 0.089 2.45988878672418e-169 11 "PGRMC1"
"242" 3.52322905383179e-173 0.74426543095396 1 0.997 4.37620280776446e-169 11 "UBB"
"243" 4.49988091441102e-173 1.10271518721475 0.74 0.164 5.58930208378993e-169 11 "HNRNPA1"
"244" 1.30401356886889e-172 -1.72647535572784 0.378 0.734 1.61971525389204e-168 11 "RPIA"
"245" 5.27650224633264e-172 1.08808208180622 0.996 0.914 6.55394344016978e-168 11 "RBM3"
"246" 2.54418458540703e-171 -1.80192348692606 0.129 0.699 3.16013167353407e-167 11 "QSOX1"
"247" 2.80593031865442e-171 -1.89510300523653 0.054 0.651 3.48524604880066e-167 11 "SPINK2"
"248" 4.10123576657763e-171 1.00904051113146 0.71 0.142 5.09414494566607e-167 11 "NDUFA5"
"249" 5.39497444974546e-171 0.856929302366367 0.558 0.064 6.70109776402883e-167 11 "GNL3"
"250" 6.87645837526634e-171 0.971243296379591 0.693 0.127 8.54124894791832e-167 11 "MRPS9"
"251" 1.69282751222087e-170 0.716249200670074 0.511 0.052 2.10266105292955e-166 11 "SYNGR1"
"252" 3.94551443654624e-170 -1.07574056147333 0.944 0.945 4.90072348163408e-166 11 "GNG5"
"253" 4.06285145286157e-170 1.16765834378264 0.734 0.157 5.04646778959935e-166 11 "C1QBP"
"254" 1.01042536675798e-169 0.791518454359784 0.567 0.067 1.25504934805008e-165 11 "WDR34"
"255" 3.2667737123962e-169 -1.75770533145948 0.157 0.77 4.05765962816731e-165 11 "KLF2"
"256" 3.96774851238089e-169 -1.1518662396132 0.929 0.943 4.9283404272283e-165 11 "TALDO1"
"257" 3.87074974762001e-168 1.08554254630155 0.843 0.242 4.80785826151882e-164 11 "CNBP"
"258" 5.69804086586798e-168 1.08426972283381 0.773 0.186 7.07753655949461e-164 11 "HSPA9"
"259" 1.25944651365258e-167 1.1297954933936 0.972 0.602 1.56435851460787e-163 11 "RBM8A"
"260" 1.36797711777429e-167 0.727200706636049 0.547 0.063 1.69916437798744e-163 11 "NOB1"
"261" 1.09268975178171e-166 0.839548718713422 0.627 0.095 1.35722994068807e-162 11 "TIMM9"
"262" 1.32461498071879e-166 1.22543411277858 0.953 0.544 1.64530426755081e-162 11 "FIS1"
"263" 1.35679566116249e-166 0.887033333888614 0.569 0.07 1.68527589072993e-162 11 "CFDP1"
"264" 1.85388470295823e-166 -1.14639212589341 0.916 0.939 2.30271018954441e-162 11 "NOP10"
"265" 4.45329504211949e-166 0.831383877284238 0.528 0.056 5.53143777181662e-162 11 "ZNF593"
"266" 1.03769129910955e-165 -1.71180875991638 0.135 0.73 1.28891636262398e-161 11 "LTB4R"
"267" 1.41012164169528e-165 1.05304078835558 0.777 0.191 1.75151209114971e-161 11 "SCOC"
"268" 2.41501393374571e-165 1.12282006810637 0.946 0.513 2.99968880710555e-161 11 "ANXA5"
"269" 1.57605407391881e-164 0.750987163097055 0.502 0.048 1.95761676521455e-160 11 "NPM1"
"270" 3.44253898486049e-164 0.861113784322202 0.489 0.046 4.27597767309522e-160 11 "AKR1B10"
"271" 5.0383975806554e-164 -2.32902544845892 0.403 0.655 6.25819363493208e-160 11 "PLAC8"
"272" 1.92268257964408e-163 1.19109628227683 0.914 0.391 2.38816403217591e-159 11 "ROMO1"
"273" 2.31193998338498e-163 1.38405071256348 0.839 0.514 2.87166065336248e-159 11 "NDFIP2"
"274" 7.30233967672872e-163 1.20402866544796 0.886 0.388 9.07023611246474e-159 11 "MEF2D"
"275" 9.92342622746303e-163 -1.51393231393641 0.927 0.954 1.23258877171318e-158 11 "HMGB2"
"276" 4.25082852703188e-162 0.846205028540351 0.571 0.083 5.27995411342629e-158 11 "GLOD5"
"277" 1.30469284195516e-161 1.04739149011904 0.912 0.319 1.62055897899251e-157 11 "HSP90B1"
"278" 1.6281604850476e-161 0.990304674734898 0.796 0.206 2.02233813847762e-157 11 "MRPL27"
"279" 2.62938307485235e-160 1.23475462030395 0.884 0.332 3.26595671727411e-156 11 "ATP5G1"
"280" 2.70663401036479e-159 -1.01677181551324 0.867 0.913 3.36191010427411e-155 11 "ARPC3"
"281" 8.08537604201702e-159 0.902216980295432 0.644 0.113 1.00428455817893e-154 11 "DEAF1"
"282" 9.39556452790252e-159 0.912760028424668 0.526 0.066 1.16702307001077e-154 11 "PBX1"
"283" 2.36493050115502e-158 0.844285761863103 0.642 0.109 2.93748017548465e-154 11 "TOR1AIP2"
"284" 9.84902844734764e-158 1.04637984830847 0.989 0.791 1.22334782344505e-153 11 "H2AFJ"
